STUDENTID,sessionTotalTimeSeconds,numVisitedQuestions,totalActions,EfficientlyCompletedBlockA,EfficientlyCompletedBlockB,VH356862,VH098810,VH098519,VH098808,VH139047,VH098759,VH098740,VH134366,VH098753,VH134387,VH098783,BlockRev,VH098812,VH139196,VH134373,VH098839,VH098597,VH098556,VH098522,VH098779,VH098834,EOSTimeLft,SecTimeOut,HELPMAT8
2333000033,1680.62,20,225,True,True,7.113,22.837,46.293,137.917,190.64,51.75,67.71,129.87,99.55,78.596,59.894,19.16,182.97,101.057,103.433,72.674,70.77,14.343,101.73,61.68,52.443,8.19,0.0,0.0
2333000882,1169.34,20,203,True,True,8.054,13.093,61.947,35.455,19.475,150.8,75.133,173.764,76.042,46.727,22.697,5.27,105.563,70.01,71.111,55.679,49.037,25.307,30.974,24.257,46.272,2.673,0.0,0.0
2333000955,1539.943,20,591,True,True,9.896,22.621,59.69,95.423,73.873,87.4,96.0,127.57,36.1,113.343,115.13,19.739,54.817,74.26,141.766,83.364,44.91,29.916,99.968,25.584,122.086,6.487,0.0,0.0
2333001552,1667.566,20,417,True,True,19.163,19.6,30.297,87.173,60.67,58.437,60.98,170.793,125.24,90.897,192.05,6.726,87.943,186.317,213.106,28.09,26.257,17.523,90.003,65.964,28.23,2.107,0.0,0.0
2333001935,1507.16,20,272,True,True,13.106,18.954,70.556,100.504,80.66,41.286,35.234,180.73,75.163,43.997,97.756,29.934,74.807,100.37,158.427,74.816,50.514,31.21,144.286,27.09,43.04,14.72,0.0,0.0
2333001986,1815.644,15,315,False,True,9.874,24.336,179.854,64.993,114.31,310.667,47.92,89.664,176.659,179.047,46.19,0.0,103.14,133.343,276.347,53.687,0.0,0.0,0.0,0.0,0.0,0.0,5.613,0.0
2333002087,1380.937,20,338,True,False,12.827,17.05,106.75,46.373,72.24,75.807,34.833,146.927,54.396,21.587,66.563,9.088,70.86,70.747,133.63,48.447,126.616,66.144,123.806,31.213,41.14,3.893,0.0,0.0
2333002141,1811.287,16,383,False,True,8.7,59.0,87.18,107.26,220.447,255.342,59.141,151.204,269.249,93.407,34.313,0.0,83.724,118.423,126.514,56.046,77.674,0.0,0.0,0.0,0.0,0.0,3.663,0.0
2333002494,1812.447,13,180,False,False,5.27,47.363,155.35,91.364,530.743,80.493,13.337,234.444,123.982,131.465,30.892,0.0,126.73,237.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.547,0.0
2333002672,1814.46,20,588,True,True,11.826,26.054,85.5,140.44,39.866,115.54,58.11,159.18,147.984,239.94,71.166,0.0,86.17,176.184,193.643,59.633,40.847,15.48,69.52,15.593,59.294,0.0,2.49,0.0
2333002923,1548.91,20,328,True,True,12.21,26.03,76.887,84.593,98.167,135.39,43.4,144.636,127.76,47.71,52.914,4.19,54.759,151.481,118.476,75.204,68.573,15.39,38.717,22.457,147.006,2.96,0.0,0.0
2333003024,1623.31,20,353,True,True,10.94,21.947,33.907,85.401,213.42,73.103,103.893,230.88,176.984,17.083,116.817,4.69,96.813,127.876,37.37,78.163,71.917,21.74,38.21,18.743,40.93,2.483,0.0,0.0
2333003181,1587.143,20,280,True,False,4.85,17.543,59.973,59.635,208.153,106.779,76.94,271.824,104.393,92.939,42.181,5.396,69.583,112.41,52.79,84.333,50.194,18.14,34.774,26.679,85.267,2.367,0.0,0.0
2333003245,1294.216,20,312,True,True,7.25,22.586,54.357,75.35,97.957,87.366,37.464,152.17,64.193,1.013,90.333,8.036,106.074,91.763,4.613,79.613,71.524,33.646,80.137,87.431,32.763,8.577,0.0,0.0
2333003695,1821.737,20,288,True,False,12.164,22.459,43.295,119.653,233.816,145.268,138.499,279.459,105.81,80.868,126.68,4.104,96.883,83.283,48.67,27.494,47.923,39.11,81.552,22.003,20.588,0.0,6.76,35.396
2333003776,1680.78,17,244,False,True,11.186,23.614,84.486,0.0,0.0,0.0,691.504,307.303,70.15,25.373,56.96,8.608,24.757,43.663,94.99,58.457,82.163,16.137,17.236,49.947,12.48,1.766,0.0,0.0
